Á¾¸ñÄÚµå,Á¾¸ñ¸í,½ÃÀå±¸ºÐ,¼Ò¼ÓºÎ,Á¾°¡,´ëºñ,µî¶ô·ü,½Ã°¡,°í°¡,Àú°¡,°Å·¡·®,°Å·¡´ë±Ý,½Ã°¡ÃÑ¾×,»óÀåÁÖ½Ä¼ö
"030210","KTBÅõÀÚÁõ±Ç","KOSPI",,"7400","40","0.54","7310","7410","7260","369577","2712200860","446324280800","60314092"
"058850","KTcs","KOSPI",,"2910","10","0.34","2890","2920","2875","132111","383136905","124213350000","42685000"
"058860","KTis","KOSPI",,"2715","20","0.74","2695","2735","2680","77252","209223310","94487430000","34802000"
"060370","KT¼­ºê¸¶¸°","KOSDAQ","Áß°ß±â¾÷ºÎ","6500","-20","-0.31","6510","6520","6400","93170","603723780","142350000000","21900000"
"093050","LF","KOSPI",,"18700","300","1.63","18450","18750","18350","58429","1083769750","546788000000","29240000"
"003550","LG","KOSPI",,"94300","-1000","-1.05","94200","95300","93700","193825","18237632600","14833483639900","157300993"
"034220","LGµð½ºÇÃ·¹ÀÌ","KOSPI",,"20550","50","0.24","20500","20800","20400","1720553","35355986550","7353112635000","357815700"
"051900","LG»ýÈ°°Ç°­","KOSPI",,"1462000","1000","0.07","1466000","1468000","1442000","36822","53718874000","22833804014000","15618197"
"051905","LG»ýÈ°°Ç°­¿ì","KOSPI",,"687000","0","0.00","687000","691000","679000","3743","2571704000","1442491839000","2099697"
"003555","LG¿ì","KOSPI",,"68800","100","0.15","68700","69000","68400","5114","351443100","207887456000","3021620"
"032640","LGÀ¯ÇÃ·¯½º","KOSPI",,"14450","400","2.85","14000","14450","14000","1597533","22795352750","6309034166450","436611361"
"011070","LGÀÌ³ëÅØ","KOSPI",,"217500","2500","1.16","218500","221500","216000","210023","45863698500","5147595772500","23667107"
"066570","LGÀüÀÚ","KOSPI",,"141000","-1000","-0.70","143000","143000","140000","758432","106970480500","23074341774000","163647814"
"066575","LGÀüÀÚ¿ì","KOSPI",,"69800","-100","-0.14","70200","70200","69100","44837","3113040800","1199582241600","17185992"
"037560","LGÇï·ÎºñÀü","KOSPI",,"7860","70","0.90","7810","7930","7810","583728","4590960340","608732358900","77446865"
"051910","LGÈ­ÇÐ","KOSPI",,"721000","-37000","-4.88","763000","766000","721000","906907","666641683892","50897079303000","70592343"
"051915","LGÈ­ÇÐ¿ì","KOSPI",,"333500","-12500","-3.61","348000","349000","332000","44581","15010311500","2564214800000","7688800"
"079550","LIG³Ø½º¿ø","KOSPI",,"52400","300","0.58","51600","53200","51200","209188","10940555000","1152800000000","22000000"
"006260","LS","KOSPI",,"66600","0","0.00","66500","67200","66400","46059","3074135800","2144520000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"68000","-600","-0.87","68200","69900","67600","119055","8155041500","2040000000000","30000000"
"000680","LS³×Æ®¿÷½º","KOSPI",,"3930","30","0.77","3900","3940","3715","64301","249793790","309695852880","78803016"
"229640","LSÀü¼±¾Æ½Ã¾Æ","KOSPI",,"8490","20","0.24","8480","8530","8410","104972","890476500","260005222710","30624879"
"108320","LX¼¼¹ÌÄÜ","KOSDAQ","¿ì·®±â¾÷ºÎ","118400","2900","2.51","116300","120300","114700","290235","34231324500","1925693120000","16264300"
"001120","LXÀÎÅÍ³»¼Å³Î","KOSPI",,"27750","0","0.00","27550","28000","27550","84287","2342899000","1075590000000","38760000"
"108670","LXÇÏ¿ì½Ã½º","KOSPI",,"87900","-200","-0.23","87900","88600","87300","41903","3686775900","788258193000","8967670"
"108675","LXÇÏ¿ì½Ã½º¿ì","KOSPI",,"40100","50","0.12","40400","40400","39500","1284","51306800","41396433000","1032330"
"383800","LXÈ¦µù½º","KOSPI",,"9930","60","0.61","9840","9960","9830","182457","1806015160","757467251700","76280690"
"38380K","LXÈ¦µù½º1¿ì","KOSPI",,"15250","0","0.00","15250","15250","15000","7253","109315400","22345596250","1465285"
"023150","MH¿¡Åº¿Ã","KOSPI",,"9920","230","2.37","9700","9920","9670","51279","502259010","73194977920","7378526"
"035420","NAVER","KOSPI",,"445000","6000","1.37","442000","448500","436500","655075","290527529000","73097210775000","164263395"
"160550","NEW","KOSDAQ","Áß°ß±â¾÷ºÎ","10650","150","1.43","10400","10900","10200","1333455","14187783300","297200028900","27906106"
"053290","NE´É·ü","KOSDAQ","Áß°ß±â¾÷ºÎ","15000","650","4.53","14350","15500","14100","369020","5516355800","247894605000","16526307"
"181710","NHN","KOSPI",,"71100","500","0.71","70700","71700","70700","45460","3238793000","1391073277500","19565025"
"104200","NHN¹÷½º","KOSDAQ","Áß°ß±â¾÷ºÎ","6510","40","0.62","6540","6540","6390","27925","181119860","96527350500","14827550"
